model,resp_id,orig_idx,domain,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.7939451336860657,200,0.21009071171283722,0.054809655994176865,"[-0.007318636944823993, 0.016054304748827235, 0.016038972577403002, 0.09593554249435328, 0.02077733992435924]","[0.01563507604664224, 0.0034711286042139024, 0.002612945876065709, 0.013924764181353595, 0.0011993027923621468]",1
ragbench_Qwen2.5-0.5B-Instruct,1,1,pubmedqa,1.002631425857544,101,1.24471116065979,0.16554558277130127,"[0.46285196764290615, 0.6127047475017774, -0.009389981227466723, 0.23289191330404, 0.06316483552415442]","[0.0762958954708233, 0.0653227972142296, 0.009147329193792351, 0.024300246527915723, 0.012396399142022405]",1
ragbench_Qwen2.5-0.5B-Instruct,2,2,finqa,0.9184170961380005,36,0.06319557130336761,0.05283103510737419,"[0.012689644397394458, -0.030900708970749393, 0.030852362459073548, -0.00955697908562393, 0.03172120100554013]","[0.0021641654304858093, 0.0015001246846300849, 0.02309017080686794, 0.0021869181959396477, 0.001705908123131255]",1
ragbench_Qwen2.5-0.5B-Instruct,3,3,pubmedqa,1.850450038909912,159,1.3029263019561768,0.19592341780662537,"[0.4746716905530958, 0.315778580740189, 0.20987518480978906, 0.22157032363748788]","[0.07160288925130183, 0.06437614086639168, 0.051089764188369864, 0.036589016820053874]",1
ragbench_Qwen2.5-0.5B-Instruct,4,4,pubmedqa,0.9547480940818787,200,0.6295367479324341,0.1348215639591217,"[0.21536395388536106, 0.30268835797743293, -0.020106534355762734, -0.0402334714786025, -0.011077790154843684]","[0.04435453760724599, 0.048276967336825155, 0.01322394560674958, 0.016704719975043573, 0.0071647463886871775]",1
ragbench_Qwen2.5-0.5B-Instruct,5,5,finqa,0.7948954701423645,200,0.4031848907470703,0.07809200137853622,"[0.0014687963434960238, 0.012375205834387656, 0.36649068332234036, 0.013973964560249215]","[0.0031828377993548783, 0.0034648322677952237, 0.06981481927575359, 0.0010426398400110416]",1
ragbench_Qwen2.5-0.5B-Instruct,6,6,pubmedqa,1.1754332780838013,200,1.083648681640625,0.13730484247207642,"[0.17112380847269607, -0.04547600172718489, 0.46710927934426766, -0.016334958795060858, 0.3712863424956197]","[0.03667594034404047, 0.007560939021380122, 0.04699644600820562, 0.004469903303797053, 0.04250410817310929]",1
ragbench_Qwen2.5-0.5B-Instruct,7,7,pubmedqa,0.7952254414558411,80,0.7003564238548279,0.1500202864408493,"[0.8668863666855031, -0.03507328907685405, -0.032704440253814936, -0.009246456874029719]","[0.12818884341913872, 0.007182078309583772, 0.0026191023413165483, 0.002761431286602267]",1
ragbench_Qwen2.5-0.5B-Instruct,8,8,pubmedqa,1.4053349494934082,200,0.8964447975158691,0.1712338626384735,"[0.012079579018472942, 0.40725123728982, 0.029479563666163812, 0.25115243972810275, -0.011391974900898277]","[0.018969183540255834, 0.081941136743161, 0.026149895546535937, 0.05405253594807423, 0.005876476573238563]",1
ragbench_Qwen2.5-0.5B-Instruct,9,9,techqa,1.4751046895980835,200,-0.01646335981786251,0.02973063290119171,"[-0.009202375566474075, -0.0649038137220964, -0.05384189083273214, -0.05752932736327239, -0.05492002703386561]","[0.01657096351668571, 0.0035991827473009154, 0.002938333123329073, 0.006368199500332423, 0.004599393252504456]",1
ragbench_Qwen2.5-0.5B-Instruct,10,10,finqa,0.7666231989860535,90,0.12084011733531952,0.0640711560845375,"[0.1281302600815656, 0.001340467716535285, 0.0017887031822182407, -0.0015131090163170787, 0.08593595257494194]","[0.03181492264724789, 0.002512180659260189, 0.0023214802198001255, 0.0028168593800463287, 0.015399208050967495]",1
ragbench_Qwen2.5-0.5B-Instruct,11,11,finqa,1.1929396390914917,22,0.1283491551876068,0.1216338574886322,"[-0.22287538885211688, 0.36679147522690153, 0.044348298651377925, 0.03461533780996846, 0.08410917388424753]","[0.036469713303734934, 0.07201294481378474, 0.0015277014921676628, 0.0018868496943634289, 0.00285685484638262]",1
ragbench_Qwen2.5-0.5B-Instruct,12,12,pubmedqa,0.9192786812782288,93,1.5248425006866455,0.20860399305820465,"[0.7383903202266553, 0.5087005157420795, 0.03835212098893344, 0.3315664534392092]","[0.0965944367289726, 0.06750234133889085, 0.007928976183410503, 0.05597998056672897]",1
ragbench_Qwen2.5-0.5B-Instruct,13,13,pubmedqa,1.4036755561828613,200,0.7979897260665894,0.09493671357631683,"[0.15591990533305078, 0.0617488301265189, 0.27685829012084695, 0.04290460897850153]","[0.03291895294276344, 0.013055629539831557, 0.023887432401676848, 0.00918352199126943]",1
ragbench_Qwen2.5-0.5B-Instruct,14,14,finqa,1.0944026708602905,200,0.11334270238876343,0.050943151116371155,"[0.01670186261588242, 0.008353631328409392, 0.0041242518560829925, 0.0021665792050589517, 0.10419354394118273]","[0.009358937448380117, 0.0021771003933010037, 0.0021667869485393963, 0.0030754008122028153, 0.03887030801895776]",1
ragbench_Qwen2.5-0.5B-Instruct,15,15,hotpotqa,0.3297135531902313,29,0.712279200553894,0.1452256143093109,"[0.10981476771773706, 0.09943604919304751, 0.10290468172601762, 0.6427494558010949, 0.0643035312447143]","[0.00876162169744679, 0.00494000142987653, 0.04703805993361537, 0.055772801767394915, 0.007881693889438449]",1
ragbench_Qwen2.5-0.5B-Instruct,16,16,pubmedqa,1.490728735923767,125,1.109863519668579,0.14684486389160156,"[0.6888623560809065, 0.05586566705314908, 0.3747024848932633, 0.287102765454445]","[0.0875875532560458, 0.015256706888572807, 0.04860339893856144, 0.03270893598378461]",1
ragbench_Qwen2.5-0.5B-Instruct,17,17,pubmedqa,0.637112557888031,200,1.2861886024475098,0.22520799934864044,"[0.5504256446013642, 0.7134640753232725, 0.16547656973166341, -0.00860628363892829]","[0.09374779447242815, 0.1144504604527409, 0.026985251710412682, 0.003136199567000126]",1
ragbench_Qwen2.5-0.5B-Instruct,18,18,pubmedqa,1.0060096979141235,86,1.1930359601974487,0.1736770123243332,"[1.0626487873225288, 0.006491286219200045, -0.021742603725638323, 0.0030761362863073417, -0.024649173579365555]","[0.12828034312965006, 0.010101760452270419, 0.004595748400187097, 0.00712550109900814, 0.0032447222108053235]",1
