model,resp_id,orig_idx,domain,mean_surprisal,n_tok,gap,jsd_noctx,chunk_drops,chunk_jsds,sent_type,label,sent_text
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,3.6280457973480225,9,0.8022417426109314,0.07929882407188416,"[0.14326124384792316, -0.030489266720703907, -0.04850303063479563, -0.024023515314588115, 0.020929738180711865]","[0.002357052293923011, 0.0009362743229656997, 0.001132647384818281, 0.0007947533419307243, 0.0006025776609830144]",none,0,Based on the information provided in the context:
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.2925015985965729,16,0.8369048833847046,0.18083322048187256,"[0.8062851480353856, -0.0052204722742317244, -0.02600664803867403, -0.020870903768809512, -0.0017239399185200455]","[0.09957495693834062, 0.0022849864661083075, 0.002426212671622352, 0.0015922148117297752, 0.00024405813030625723]",none,0,- The 2021 notes are due in 2021.
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.03838377445936203,16,0.2115892916917801,0.05653233826160431,"[0.060851553049815266, 0.015625981739049166, 0.06292261790386533, 0.0015175033983609865, 0.008594326249522055]","[0.017105545023923696, 0.011950222357995699, 0.008645461948582067, 0.00033683439858123165, 0.00048222262125108273]",none,0,- The 2019 notes are due in 2019.
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.2940000891685486,21,0.3356005847454071,0.06945520639419556,"[-0.0033137459059140555, -0.029789912525562352, -0.0049467815285121714, 0.5909935073061552, 0.016882615806891755]","[0.0038729004965521847, 0.0004910872029232191, 0.0015734635983876831, 0.07380034798290494, 2.4311067463821972e-05]",none,0,"- The 2017 notes are due on September 15, 2017."
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.7927573919296265,20,0.01003149151802063,0.02598109282553196,"[-0.0488813223150828, -0.03063009902853082, 0.0016835263710163416, -0.01857029402963235, 0.019813865649121]","[0.002453515760262803, 0.00036162956268412925, 0.00018068217617326355, 0.0016288192562626592, 0.0003297942471078841]",none,0,"To calculate the percent of future notes due by 2017, I will: 1."
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,1.3756704330444336,11,-0.054694175720214844,0.028918610885739326,"[-0.04237987975251268, 0.06540885785679248, 0.019770980114117265, -0.057647440265017474, -0.03304778246886351]","[0.0031336629677256992, 0.000739056695734193, 0.001066094146319136, 0.0015349171983623157, 0.0003901080219128]",none,0,Identify the total principal amount of future notes. 2.
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.1737191528081894,16,-0.04915272444486618,0.013696564361453056,"[-0.011385682528043617, 0.012477898898396234, -0.004650187014021867, -0.004866557966010987, 0.004198712483912459]","[0.0013641797385766097, 0.00020929019846960273, 0.00023103023875137296, 0.00039464602117433856, 6.890529997605199e-05]",none,0,Identify the principal amount of notes due by 2017. 3.
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.4882253408432007,19,0.07334274053573608,0.008232301101088524,"[0.029174616549617463, 0.011803005287411475, -0.0024871223998305047, 0.0064981574097672775, -0.00834494210185336]","[0.0008037471567436832, 0.00030398032801090986, 0.00016575697633781697, 0.0009587185165018079, 7.471148480937317e-05]",none,0,Divide the amount due by 2017 by the total principal amount to get the percentage.
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.20430517196655273,6,0.0007225026492960751,0.014859755523502827,"[-0.016080632466279592, -0.0029374201355191567, 0.0033988855429925025, -0.008183710092756277, -0.0049227256192049635]","[0.0011003577325633767, 0.0001781536354125516, 0.00014333243840762103, 0.00016302797666867264, 2.596478088889853e-05]",none,1,Total principal amount of future notes:
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.9923686385154724,12,-0.3142061233520508,0.08434461802244186,"[-0.4990650659116606, -0.058208885738470904, -0.030443716105461743, -0.03469173769311359, -0.005566640407778323]","[0.06981448347990711, 0.0018959006813474844, 0.0019875538537235116, 0.006603924540475721, 0.00039643634780380427]",none,1,- 2021 notes: $700 million
