model,resp_id,orig_idx,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label,doc_id,summ_model
tofueval_Qwen2.5-0.5B-Instruct,0,0,3.348933696746826,62,0.7653778791427612,0.18008384108543396,"[-0.0306955314346499, 0.11399178086444849, 0.2293427533455073, 0.028153491057192667, 0.015779850762144984]","[0.01988526133403602, 0.007197652746130658, 0.11723610932207404, 0.0348296082399297, 0.009935083142020249]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,1,1,1.62173593044281,80,1.095263123512268,0.20720796287059784,"[0.3204469395511751, 0.05762759533398594, 0.34396172627062926, 0.02226619130235008, -0.057605141210336795]","[0.06661590055231556, 0.036206468122495394, 0.09114925374574626, 0.01247552263799392, 0.007335085271772357]",0,AlamedaCC_02172015_2015-1189,model_A
tofueval_Qwen2.5-0.5B-Instruct,2,2,2.2193710803985596,20,1.1181488037109375,0.1672738790512085,"[0.03573040929622948, -0.002562637976370752, 0.5340503056300804, -0.09457653930876404, 0.05431957063265145]","[0.01773352133059234, 0.013879715886423583, 0.07051239346401417, 0.030493463749007788, 0.010190468859354951]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_Qwen2.5-0.5B-Instruct,3,3,1.6277015209197998,50,1.0599265098571777,0.2542157471179962,"[0.0932140654921659, 0.03408253938516282, 0.8577601946190407, 0.07950031961975583, 0.01786128471973825]","[0.01037228457894571, 0.00856284876626205, 0.21191674630252236, 0.025602919428329186, 0.006068142190104027]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_Qwen2.5-0.5B-Instruct,4,4,2.314363479614258,66,0.8423053622245789,0.18664385378360748,"[0.22580133839790395, 0.038977585636916265, 0.39607502126433025, -0.03451547028122481, -0.019727357872783836]","[0.037860614357694805, 0.038001270101998136, 0.11655605341415635, 0.03135445194931725, 0.009052875319861703]",1,AlamedaCC_02172015_2015-1189,model_D
tofueval_Qwen2.5-0.5B-Instruct,5,5,2.0759332180023193,31,1.3880746364593506,0.19951045513153076,"[0.027094718691988682, 0.06600598895954224, 1.346116082699624, -0.23236254716879734, -0.20606126586532017]","[0.008503394141202549, 0.006856142321618292, 0.17431731976337747, 0.018024348363225376, 0.011337234631179355]",0,AlamedaCC_02172015_2015-1189,model_E
tofueval_Qwen2.5-0.5B-Instruct,6,6,2.8745968341827393,52,1.0690034627914429,0.20839349925518036,"[0.13585367727165037, 0.02326638379152148, 0.6799384020268917, 0.3164512065704912, 0.010155647948312644]","[0.034084816934689746, 0.019495630942681322, 0.1573472808981583, 0.03965471702912719, 0.00844266559908227]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,7,7,1.4214880466461182,67,1.2543102502822876,0.21928097307682037,"[0.24676360248730503, 0.19793350081638877, 0.7021434638151203, 0.004814975455498024, 0.020972539111711225]","[0.05202907787435915, 0.05275257792013079, 0.10848510105890807, 0.005029636241498514, 0.00689923094800104]",1,AlamedaCC_02172015_2015-1189,model_A
tofueval_Qwen2.5-0.5B-Instruct,8,8,1.8921457529067993,51,1.6123433113098145,0.26764023303985596,"[0.3231768658980739, 0.058733636988643624, 1.3095549792793177, -0.052190517924578204, 0.07331444704704707]","[0.05487823005450189, 0.0250156026721519, 0.16577932537363857, 0.016954908604330455, 0.008141570097390124]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_Qwen2.5-0.5B-Instruct,9,9,1.416405439376831,124,1.457028865814209,0.23068946599960327,"[-0.006627533796745411, -0.05332744726142517, 0.8449900032408608, 0.5386835050165011, -0.03520654256279217]","[0.016277305127821072, 0.009907748418878409, 0.12287084868747174, 0.08736012509251989, 0.008656856297444582]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_Qwen2.5-0.5B-Instruct,10,10,1.553949236869812,74,1.5414868593215942,0.22574657201766968,"[0.3606399828222001, 0.3151924180767949, 0.8488603487651719, -0.0167434940559434, -0.006472294795998637]","[0.04857341328592943, 0.05520188934859697, 0.12596702232463952, 0.0081461762550847, 0.00592470100588577]",0,AlamedaCC_02172015_2015-1189,model_D
tofueval_Qwen2.5-0.5B-Instruct,11,11,1.046445608139038,112,1.4171559810638428,0.20126387476921082,"[0.5921843174449221, -0.008085227269824762, 0.6497897223965603, -0.02829798173998808, -0.0005409130430759238]","[0.088653192170857, 0.02318081050474685, 0.07836584046520732, 0.006645684193687654, 0.0048406547053318405]",1,AlamedaCC_02172015_2015-1189,model_E
tofueval_Qwen2.5-0.5B-Instruct,12,12,2.363752603530884,43,1.4002901315689087,0.2513691484928131,"[0.19714913462007114, 0.3717071675955383, 0.6923907719942373, 0.175835094988606, -0.04278167444389573]","[0.02351672335346446, 0.08893788645455483, 0.10988777927271913, 0.02827508507860245, 0.004937431013765258]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,13,13,1.2534133195877075,101,1.2372466325759888,0.2218000739812851,"[0.556155993551896, 0.5010812885377911, 0.4465566918716417, 0.05156216895258496, 0.0902303243306456]","[0.09001307012287348, 0.10064288054920072, 0.06277392462562763, 0.004526766395534957, 0.004827005073580175]",0,AlamedaCC_02172015_2015-1189,model_A
tofueval_Qwen2.5-0.5B-Instruct,14,14,1.4334932565689087,91,1.5722198486328125,0.20860610902309418,"[0.4804681444482732, -0.05305668273486735, 0.48905026196437146, 0.013584204277267017, 0.2404392341131025]","[0.06797814741682592, 0.045083014367959307, 0.044369577463606966, 0.010188829116074303, 0.031592003636075915]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_Qwen2.5-0.5B-Instruct,15,15,1.6567083597183228,75,1.1753917932510376,0.17352451384067535,"[0.27059186113455025, 0.21119323302060367, 0.7778331900682921, 0.00807680688992453, 0.026175593361646557]","[0.05990319831932235, 0.049858791435011277, 0.07892205454297861, 0.0037031452491100934, 0.004231506101920483]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_Qwen2.5-0.5B-Instruct,16,16,1.525595784187317,82,1.1951606273651123,0.2243703305721283,"[0.044997528523331644, 0.2571911911814468, 0.6670284500880105, 0.33710279460501624, -0.019072871875634032]","[0.02648863822966588, 0.058450154026226435, 0.10943365905756387, 0.06286123412420659, 0.0064718593267881685]",0,AlamedaCC_02172015_2015-1189,model_D
