model,resp_id,orig_idx,mean_surprisal,n_tok,gap,jsd_noctx,chunk_drops,chunk_jsds,sent_type,label,sent_text
tofueval_Qwen2.5-0.5B-Instruct,0,0,2.967957019805908,13,2.0296342372894287,0.22134333848953247,"[0.1458403423715096, -0.026222626893566206, 0.12025823830985106, 0.06377852134979688, -0.0839793633383054]","[0.047063540192679144, 0.016428578770361267, 0.06979496888099955, 0.03189641094874018, 0.013690645904436959]",none,1,The finance director expressed concern over fuel prices affecting sales tax revenue.
tofueval_Qwen2.5-0.5B-Instruct,0,0,3.1858088970184326,13,0.2285611480474472,0.24496759474277496,"[-0.1140365364531485, 0.011923095501305606, -0.2845037814158087, 0.010447566939267116, -0.15463202013331914]","[0.008255799834107446, 0.0013984496939743762, 0.2104444589215116, 0.0036960656283064543, 0.008755288329561713]",none,1,Tesoro recently increased gas prices $0.30/gallon.
tofueval_Qwen2.5-0.5B-Instruct,0,0,3.2627391815185547,8,-0.08578604459762573,0.09735724329948425,"[0.022015347552951425, 0.2091457195347175, 0.0805760589428246, -0.04778028043801896, 0.02915197139373049]","[0.007836466575099621, 0.008697972717300217, 0.062129580255714245, 0.007126065553052285, 0.0020339458433227264]",none,0,Fuel sales are volatile depending on oil prices.
tofueval_Qwen2.5-0.5B-Instruct,0,0,4.917701721191406,5,1.8478734493255615,0.21787814795970917,"[-0.05755790080875158, 0.5322751550003886, 1.780315339565277, 0.09533840753138065, 0.11443159393966199]","[0.01339568649418652, 0.006878019380383194, 0.15860527753829956, 0.02462006453424692, 0.006461897620465606]",none,0,The fracking industry influences costs.
tofueval_Qwen2.5-0.5B-Instruct,0,0,2.971219301223755,19,0.5358932614326477,0.12023074924945831,"[-0.010237120410525486, 0.009461289847661791, 0.24205733071032323, 0.07613215111441125, 0.08002340155776198]","[0.01154028764990232, 0.003980661288407741, 0.08392243940570072, 0.043534581286765295, 0.011922127766171653]",none,0,"The report expects fuel sales to decrease next year, impacting sales tax collection according to their tax advisor."
tofueval_Qwen2.5-0.5B-Instruct,1,1,1.5962696075439453,37,1.3261784315109253,0.23007895052433014,"[0.6005458692453505, -0.06265585654322471, -0.1298527370191624, -0.004904061890126311, -0.01136901607270448]","[0.12006906629454607, 0.04119737980807802, 0.03514662448809439, 0.009830677697542846, 0.008236613509684748]",none,0,"The document discusses the second quarter sales tax collections for the period ending December 31st, 2014, showing a 40% increase compared to last year."
tofueval_Qwen2.5-0.5B-Instruct,1,1,2.358546018600464,17,0.012798151932656765,0.11329402774572372,"[0.16438564614338033, -0.28522037364104214, -0.017375748385401332, 0.06370545310132644, -0.11571182310581207]","[0.03574388913865037, 0.014785584270344664, 0.06518676414099686, 0.03143810083052171, 0.00837401015964775]",none,0,The finance department representative mentions concerns over fuel prices and the potential impact on sales tax revenue.
tofueval_Qwen2.5-0.5B-Instruct,1,1,1.1872886419296265,24,1.627862572669983,0.24991993606090546,"[0.03624453640319795, 0.49133581189380493, 1.37170503847301, 0.045576861216735175, -0.0870452331364504]","[0.00904208320230282, 0.045258354207438366, 0.20094759440204749, 0.003468054988767714, 0.0054949815688871695]",none,0,"The document also highlights strong sales growth across various industries, with business and industry, restaurants, and consumer goods leading the way."
tofueval_Qwen2.5-0.5B-Instruct,2,2,2.2193710803985596,20,1.1181488037109375,0.1672738790512085,"[0.03573040929622948, -0.002562637976370752, 0.5340503056300804, -0.09457653930876404, 0.05431957063265145]","[0.01773352133059234, 0.013879715886423583, 0.07051239346401417, 0.030493463749007788, 0.010190468859354951]",none,0,The document highlights concerns over fuel prices and their potential impact on sales tax revenue in the coming year.
tofueval_Qwen2.5-0.5B-Instruct,3,3,1.6277015209197998,50,1.0599265098571777,0.2542157471179962,"[0.0932140654921659, 0.03408253938516282, 0.8577601946190407, 0.07950031961975583, 0.01786128471973825]","[0.01037228457894571, 0.00856284876626205, 0.21191674630252236, 0.025602919428329186, 0.006068142190104027]",none,0,"The speaker discussed concerns over fuel prices, as the prices dropped by approximately $0.25 per gallon, but then increased by $0.30 in the last two weeks, leading to a potential loss in sales tax revenue for the city."
