model,resp_id,orig_idx,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label,doc_id,summ_model
tofueval_SmolLM2-1.7B-Instruct,0,0,2.925593137741089,63,0.7412762641906738,0.1443844437599182,"[-0.01093077857697767, 0.017466123099900813, 0.4161791240372362, 0.08955730723045278, 0.03459085822419544]","[0.017229894661068463, 0.002290501581336728, 0.08548618131219031, 0.012850090620892684, 0.00885913859564613]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_SmolLM2-1.7B-Instruct,1,1,1.2044141292572021,80,1.2410207986831665,0.19042548537254333,"[0.35914942650615556, 0.1847632613672431, 0.532447590997981, 0.016412075435755468, 0.024131097981171478]","[0.05479419986484117, 0.03129476027851723, 0.0806068932198059, 0.005259561236367461, 0.006511808139165964]",0,AlamedaCC_02172015_2015-1189,model_A
tofueval_SmolLM2-1.7B-Instruct,2,2,1.9284359216690063,20,1.0846112966537476,0.14777560532093048,"[0.009604843985289335, -0.0412120383232832, 0.3104043028317392, 0.04705482814460993, -0.00436955401673913]","[0.013995014925603755, 0.00357576052119839, 0.03991109449416399, 0.026331545345601625, 0.009508437300974037]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_SmolLM2-1.7B-Instruct,3,3,1.5739270448684692,50,0.8366339802742004,0.1964462250471115,"[0.042604019541468, -0.00032882172294193876, 0.48824553355225364, 0.04025638127146522, -0.07177850631152978]","[0.0065699288328414695, 0.003385182925776462, 0.14979347879474517, 0.009323706974373635, 0.005686049156274749]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_SmolLM2-1.7B-Instruct,4,4,1.997999906539917,66,0.8507816195487976,0.18175002932548523,"[0.28381761583962845, 0.14857227993938563, 0.3820094653929118, -0.003854180291179518, 0.004502384224410475]","[0.024885243296206696, 0.0451201158004489, 0.11652409479949821, 0.03302800972556091, 0.008191869052463507]",1,AlamedaCC_02172015_2015-1189,model_D
tofueval_SmolLM2-1.7B-Instruct,5,5,1.5895049571990967,31,1.6388413906097412,0.20126548409461975,"[0.039390348160879746, -0.019185674271636432, 1.46516296871367, -0.005711161058336016, -0.03174032149235568]","[0.007681050518811155, 0.0029063717938697664, 0.16604973721663438, 0.012392830924000009, 0.010070971466238036]",0,AlamedaCC_02172015_2015-1189,model_E
tofueval_SmolLM2-1.7B-Instruct,6,6,2.6296627521514893,52,1.1810452938079834,0.18252772092819214,"[0.060462182539945036, 0.0640127214943417, 0.7858718897287662, 0.18044648059339335, 0.002527556561220151]","[0.012463394584651373, 0.02025512618659447, 0.14428934335368326, 0.020377502292271508, 0.007822243783196497]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_SmolLM2-1.7B-Instruct,7,7,1.2189661264419556,68,1.2851288318634033,0.20379367470741272,"[0.21629872920547152, 0.14614451109339235, 0.7154763312849836, -0.03588283702126372, -0.009315172021374832]","[0.043742881309285886, 0.044535454068319026, 0.10774340292435708, 0.00564414865592051, 0.00456215730776635]",1,AlamedaCC_02172015_2015-1189,model_A
tofueval_SmolLM2-1.7B-Instruct,8,8,1.7340377569198608,51,1.7474313974380493,0.2751580774784088,"[0.12193970093115543, 0.03367903424477132, 1.4229944124041747, -0.09001458578688257, -0.02358705938483278]","[0.04513220223227964, 0.028084526538056227, 0.17422344816269983, 0.0201732630727979, 0.004726245609430514]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_SmolLM2-1.7B-Instruct,9,9,1.2528138160705566,125,1.5081373453140259,0.21140773594379425,"[0.06944438880402595, -0.0071933421669527885, 0.8994459990919568, 0.5422340365452691, -0.031967461297521364]","[0.009261296444215986, 0.007605487545130018, 0.1253530877850426, 0.0871192651627789, 0.010926146674639313]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_SmolLM2-1.7B-Instruct,10,10,1.4687695503234863,73,1.563923716545105,0.23750051856040955,"[0.28519362028072626, 0.4068708627266261, 0.9994386510559906, 0.018878553415910174, -0.01650953398816517]","[0.040096441378459344, 0.062121278638947494, 0.1331062211586507, 0.00868314012614189, 0.0063434265228177735]",0,AlamedaCC_02172015_2015-1189,model_D
tofueval_SmolLM2-1.7B-Instruct,11,11,0.9073224663734436,112,1.4638898372650146,0.2004140466451645,"[0.6051581513060488, 0.07747088570672693, 0.7088636470734367, 0.021124706741147747, -0.002980263777057449]","[0.08330906109372904, 0.03012807390227274, 0.07853355907841474, 0.005453463350640675, 0.00453722210062527]",1,AlamedaCC_02172015_2015-1189,model_E
tofueval_SmolLM2-1.7B-Instruct,12,12,2.154545783996582,44,1.407260537147522,0.2081139236688614,"[0.07588875181549652, 0.455324873984368, 0.6744465225968849, 0.14142206144011157, 0.018316881752318957]","[0.01662828450108381, 0.0749898524928457, 0.10057665941845202, 0.01518765069993771, 0.00571095618562884]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_SmolLM2-1.7B-Instruct,13,13,0.980564296245575,102,1.4084131717681885,0.22841474413871765,"[0.4762593669713847, 0.3951336987727914, 0.47490517695790485, 0.034518001263873596, -0.033251483133462184]","[0.06992170604988747, 0.08821833267630748, 0.06437604996924218, 0.004485085064027985, 0.00382835277416934]",0,AlamedaCC_02172015_2015-1189,model_A
tofueval_SmolLM2-1.7B-Instruct,14,14,1.2801189422607422,91,1.4288935661315918,0.19642065465450287,"[0.4737876663449832, 0.07025524196885001, 0.41955713487038665, 0.0316857373476883, 0.17528984512642676]","[0.05978029603518205, 0.0333873223774491, 0.05015344919543905, 0.007506777331660227, 0.024218013420722655]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_SmolLM2-1.7B-Instruct,15,15,1.4773036241531372,75,1.1741445064544678,0.18179430067539215,"[0.3307763819412018, 0.17023931404575707, 0.8157075667676206, 0.03673817350994796, -0.011921600156153242]","[0.04950155558947396, 0.04563057243077007, 0.09118535942002684, 0.007457152767298491, 0.004150513510388312]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_SmolLM2-1.7B-Instruct,16,16,1.180895447731018,81,1.5350844860076904,0.20936453342437744,"[0.07958285748688389, 0.3333412278213619, 0.8358708101462711, 0.2930079787879044, 0.0509093506024564]","[0.022021081507256984, 0.052042480316635595, 0.09476595294953218, 0.04289987683509542, 0.004860775767784942]",0,AlamedaCC_02172015_2015-1189,model_D
tofueval_SmolLM2-1.7B-Instruct,17,17,1.0290913581848145,116,1.2986255884170532,0.1979246735572815,"[0.4626864299882135, 0.346689458471262, 0.5987991726958705, 0.020792491860902373, 0.049940534014710686]","[0.06187139626766519, 0.0740048456105377, 0.06980505413954588, 0.005730698354033519, 0.0034602855359631528]",0,AlamedaCC_02172015_2015-1189,model_E
tofueval_SmolLM2-1.7B-Instruct,18,18,2.189474105834961,23,2.0435903072357178,0.2705373764038086,"[0.10905963704040599, 0.021296286499937592, 0.0371836400514914, 0.03178955000602519, 1.8122668907795425]","[0.007720091258385725, 0.0036348577355649627, 0.002249433903236185, 0.0009433276663912693, 0.2476028954153425]",0,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_SmolLM2-1.7B-Instruct,19,19,1.2149869203567505,92,1.7950117588043213,0.19545592367649078,"[0.021715747532573954, 0.0024291636979361774, -0.010975294031200263, -0.011767783003882, 1.704797812469263]","[0.0014986967637172631, 0.0010754700190812835, 0.0005528029797934995, 0.0006138040961678084, 0.17407058827747396]",1,AlamedaCC_04042017_2017-4092,model_A
tofueval_SmolLM2-1.7B-Instruct,20,20,0.7378175854682922,79,2.0661466121673584,0.25028836727142334,"[-0.011936311626206727, 0.008609247031673949, 0.002315619145566082, 0.01236519295742232, 1.9339261774678826]","[0.001460184037104158, 0.0010036460924461204, 0.000664893718503145, 0.0014392314637830226, 0.23163760143387074]",1,AlamedaCC_04042017_2017-4092,model_B
tofueval_SmolLM2-1.7B-Instruct,21,21,1.0224970579147339,101,2.065119504928589,0.27988868951797485,"[0.023163690845685418, -0.035039120513784376, -0.002773776598938765, -0.026882064737762477, 1.978812977842212]","[0.004453956191709814, 0.0028338526556441626, 0.0009988018285720598, 0.001022233008229975, 0.24682801562989024]",1,AlamedaCC_04042017_2017-4092,model_C
tofueval_SmolLM2-1.7B-Instruct,22,22,0.5939108729362488,57,3.494361400604248,0.402679979801178,"[0.002351001642820624, -0.014015934204938898, -0.015502775435714667, 0.007927231150405166, 3.3168518442288857]","[0.00719973747181201, 0.002282015261480789, 0.0012390009873349914, 0.0012749437363431912, 0.364213736486323]",0,AlamedaCC_04042017_2017-4092,model_D
tofueval_SmolLM2-1.7B-Instruct,23,23,0.9648699164390564,43,2.5300967693328857,0.3318995237350464,"[0.009337844918306028, 0.014106503987636115, 0.010480946815859656, -0.0018716318861765483, 2.162473771853107]","[0.0028016291062052663, 0.0029278664386829193, 0.0015928132785691476, 0.0011738223301806503, 0.2923023367732449]",1,AlamedaCC_04042017_2017-4092,model_E
tofueval_SmolLM2-1.7B-Instruct,24,24,2.00050950050354,71,0.6696227788925171,0.11012216657400131,"[0.03028191193859552, 0.0334184579913993, 0.006161561828109921, 0.009168022313863563, 0.4903764842175649]","[0.005588499035273882, 0.0018097785644859985, 0.0014951968949799906, 0.0008407431375968039, 0.08461989648032972]",1,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_SmolLM2-1.7B-Instruct,25,25,0.4677351713180542,67,3.5204873085021973,0.422086238861084,"[0.04559827402676119, 0.01990314896262243, 0.00905949112880148, -0.02292583026189562, 3.275847197602392]","[0.003538444571187205, 0.0027225685186135365, 0.004340643388419341, 0.0008166145202294366, 0.38805059079252835]",0,AlamedaCC_04042017_2017-4092,model_A
tofueval_SmolLM2-1.7B-Instruct,26,26,0.6117722988128662,40,2.799478530883789,0.34562426805496216,"[-0.006207341306617309, -0.004771315008292731, 0.01826840156882099, -0.017028952650434803, 2.34102175425578]","[0.011971824817646848, 0.0034690292740492622, 0.0010513311186741703, 0.0007684705538963498, 0.280730069414858]",0,AlamedaCC_04042017_2017-4092,model_B
tofueval_SmolLM2-1.7B-Instruct,27,27,0.9930915236473083,97,2.2512266635894775,0.2760332524776459,"[0.006893862556268883, 0.0017442180822062133, 0.0039955678315253835, -0.01619344048531181, 2.0930552061013494]","[0.0018969797075042668, 0.0014775387728253374, 0.0006446322130205097, 0.0006516566521410364, 0.2552029836321905]",1,AlamedaCC_04042017_2017-4092,model_C
tofueval_SmolLM2-1.7B-Instruct,28,28,1.5006691217422485,62,1.282427430152893,0.15663346648216248,"[0.011329534104950125, 0.011447982717072591, 0.010359077891823085, 0.00696620810072824, 1.1627940371568735]","[0.001891035554836567, 0.0015658501328612, 0.0006162784808375657, 0.0005215788470973019, 0.13022103092554327]",1,AlamedaCC_04042017_2017-4092,model_D
tofueval_SmolLM2-1.7B-Instruct,29,29,1.1228245496749878,94,2.0466716289520264,0.2417476922273636,"[0.012938570668550111, 0.0050451147372052915, -0.0077117807433093365, -0.018987220826853987, 1.7847754471883317]","[0.003203065494181209, 0.001904827354411388, 0.0010558644287919697, 0.0022041626688492893, 0.21244819766287307]",1,AlamedaCC_04042017_2017-4092,model_E
tofueval_SmolLM2-1.7B-Instruct,30,30,2.7032155990600586,59,0.5955283045768738,0.1225205659866333,"[0.05220124544871781, 0.04299106135159352, 0.002341214766710113, 0.021684211057263536, 0.4555492629691706]","[0.005499905625903643, 0.002653164957722519, 0.0015360166753144782, 0.0014421350886519668, 0.09784899970333553]",1,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_SmolLM2-1.7B-Instruct,31,31,1.1252793073654175,48,1.8638453483581543,0.2317163199186325,"[0.0012771669529077674, -0.006542783065621431, -0.007002878930506995, -0.006901629742666652, 1.5541866922261154]","[0.014333135276501707, 0.003164120146436744, 0.0015591497510740737, 0.0015369381032617941, 0.16753682877121415]",1,AlamedaCC_04042017_2017-4092,model_A
tofueval_SmolLM2-1.7B-Instruct,32,32,0.9142025113105774,71,2.269320011138916,0.255563348531723,"[0.03455018850228287, 0.023953089795559466, 0.005625279816381984, -0.01667408954811653, 2.0995455331851165]","[0.002080599506238171, 0.0014966830470282883, 0.0011325619123191489, 0.0012941888884033944, 0.24622259861070248]",1,AlamedaCC_04042017_2017-4092,model_B
