model,resp_id,orig_idx,mean_surprisal,n_tok,gap,jsd_noctx,chunk_drops,chunk_jsds,sent_type,label,sent_text
tofueval_SmolLM2-1.7B-Instruct,0,0,3.0313873291015625,13,1.1669087409973145,0.21073582768440247,"[-0.018785674411516923, -0.015710148100669567, -0.00041724856083209696, 0.05469489584748562, -0.10842399557049458]","[0.05422571783240598, 0.004502356889693497, 0.02998712001583324, 0.013647241858192362, 0.013204769202275202]",none,1,The finance director expressed concern over fuel prices affecting sales tax revenue.
tofueval_SmolLM2-1.7B-Instruct,0,0,1.7941621541976929,14,0.5686544179916382,0.18931780755519867,"[-0.07347010596588786, 0.015015582797267208, 0.09424788268890032, -0.02096147340697436, 0.016878724468239983]","[0.0033510100874748006, 0.0008908040156256902, 0.1597881047343565, 0.003277309456783379, 0.0017293072947138302]",none,1,Tesoro recently increased gas prices $0.30/gallon.
tofueval_SmolLM2-1.7B-Instruct,0,0,2.399404287338257,8,0.7466488480567932,0.07743228226900101,"[0.12345832749269903, 0.05607017851434648, 0.7505191769450903, 0.1267518198583275, 0.012322009075433016]","[0.005182591070479248, 0.0010960894360323437, 0.04405584774212912, 0.006252458604649291, 0.0026354016372351907]",none,0,Fuel sales are volatile depending on oil prices.
tofueval_SmolLM2-1.7B-Instruct,0,0,3.8995604515075684,5,1.6403005123138428,0.15444988012313843,"[0.11554147526621819, 0.032771623134613036, 2.158060359954834, -0.05167262926697731, 0.15839430838823318]","[0.006252275733277202, 0.0015307608991861343, 0.146773873642087, 0.0061533571803011, 0.004284741543233395]",none,0,The fracking industry influences costs.
tofueval_SmolLM2-1.7B-Instruct,0,0,3.1314895153045654,19,0.2838663160800934,0.09262929111719131,"[0.11772112186851078, -0.023966103326529264, 0.21479383973698868, 0.12842216127012906, 0.15619479179823478]","[0.011217117648859704, 0.0026878662088404923, 0.07112424803505603, 0.02324187140153586, 0.014070544330312068]",none,0,"The report expects fuel sales to decrease next year, impacting sales tax collection according to their tax advisor."
tofueval_SmolLM2-1.7B-Instruct,1,1,1.0909188985824585,37,1.4454268217086792,0.20364336669445038,"[0.624773552560647, 0.1653112937077625, 0.13507487220655046, 0.02974455374774029, 0.040088881067719274]","[0.0903499217349383, 0.03335573295730744, 0.010005109573113086, 0.005884911041543755, 0.008578222911520808]",none,0,"The document discusses the second quarter sales tax collections for the period ending December 31st, 2014, showing a 40% increase compared to last year."
tofueval_SmolLM2-1.7B-Instruct,1,1,1.7043061256408691,17,0.4062732756137848,0.09459679573774338,"[0.3309405577533385, 0.02752229560385732, -0.04149354402633274, 0.0025064838940606396, -0.0028603531639365587]","[0.0466002895435154, 0.012668359856915605, 0.045566712447907776, 0.0067824376815491735, 0.0069132575119831875]",none,0,The finance department representative mentions concerns over fuel prices and the potential impact on sales tax revenue.
tofueval_SmolLM2-1.7B-Instruct,1,1,0.9701603055000305,24,1.621325135231018,0.2452760934829712,"[0.0020743073594834036, 0.3429667122448639, 1.5910256570205092, 0.0062488518306054175, 0.020708707959177747]","[0.008830107446632004, 0.04266205949018816, 0.21850850138192376, 0.0033885751179430676, 0.002512713234883298]",none,0,"The document also highlights strong sales growth across various industries, with business and industry, restaurants, and consumer goods leading the way."
tofueval_SmolLM2-1.7B-Instruct,2,2,1.9284359216690063,20,1.0846112966537476,0.14777560532093048,"[0.009604843985289335, -0.0412120383232832, 0.3104043028317392, 0.04705482814460993, -0.00436955401673913]","[0.013995014925603755, 0.00357576052119839, 0.03991109449416399, 0.026331545345601625, 0.009508437300974037]",none,0,The document highlights concerns over fuel prices and their potential impact on sales tax revenue in the coming year.
tofueval_SmolLM2-1.7B-Instruct,3,3,1.5739270448684692,50,0.8366339802742004,0.1964462250471115,"[0.042604019541468, -0.00032882172294193876, 0.48824553355225364, 0.04025638127146522, -0.07177850631152978]","[0.0065699288328414695, 0.003385182925776462, 0.14979347879474517, 0.009323706974373635, 0.005686049156274749]",none,0,"The speaker discussed concerns over fuel prices, as the prices dropped by approximately $0.25 per gallon, but then increased by $0.30 in the last two weeks, leading to a potential loss in sales tax revenue for the city."
